student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,Pass
1,17,male,diploma,2.78,92.9,yes,7.4,poor,coaching,low,hard,58.9,Pass
2,23,other,bca,3.37,64.8,yes,4.6,average,online videos,medium,moderate,54.8,Pass
3,22,male,b.sc,7.88,76.8,yes,8.5,poor,coaching,high,moderate,90.3,Pass
4,20,other,diploma,0.67,48.4,yes,5.8,average,online videos,low,moderate,29.7,Fail
5,20,female,diploma,0.89,71.6,yes,9.8,poor,coaching,low,moderate,43.7,Fail
6,23,male,b.tech,3.48,65.4,yes,4.2,good,mixed,low,moderate,58.2,Pass
7,17,female,b.tech,1.35,69.0,yes,7.4,average,online videos,high,hard,53.7,Pass
8,22,male,b.sc,5.48,51.1,yes,8.2,poor,self-study,low,moderate,47.3,Fail
9,18,other,bca,2.89,92.0,yes,6.6,poor,self-study,low,easy,44.9,Fail
10,17,male,bba,6.77,44.8,yes,9.8,average,group study,high,moderate,77.7,Pass
11,21,female,ba,5.99,86.9,yes,5.8,average,self-study,medium,easy,63.2,Pass
12,24,male,b.com,3.77,96.6,no,4.1,poor,online videos,medium,easy,53.5,Pass
13,22,female,ba,6.76,46.4,yes,8.1,good,self-study,medium,hard,63.9,Pass
14,23,female,bba,0.81,66.0,yes,7.1,poor,online videos,medium,moderate,34.1,Fail
15,22,male,b.tech,4.65,75.1,yes,7.7,good,group study,high,moderate,83.5,Pass
16,23,other,bba,4.84,99.4,yes,7.3,average,coaching,high,moderate,98.5,Pass
17,21,male,b.sc,1.97,91.9,yes,8.3,average,self-study,medium,moderate,70.3,Pass
18,18,male,bca,0.4,64.9,yes,6.8,poor,self-study,medium,moderate,32.3,Fail
19,23,female,b.sc,4.28,98.1,yes,4.4,average,mixed,low,moderate,56.2,Pass
20,20,male,b.tech,4.11,59.9,yes,4.3,poor,coaching,high,moderate,49.3,Fail
21,21,female,ba,5.23,60.4,yes,4.2,poor,coaching,medium,easy,68.1,Pass
22,19,other,ba,1.7,70.4,yes,9.8,good,mixed,low,easy,52.1,Pass
23,18,male,ba,1.44,86.8,yes,9.7,average,group study,medium,easy,47.1,Fail
24,24,female,diploma,7.82,51.5,yes,6.3,good,self-study,low,easy,84.8,Pass
25,23,male,bba,0.91,84.5,yes,8.0,average,coaching,low,moderate,68.9,Pass
26,22,male,b.com,7.91,40.6,yes,4.3,good,group study,low,moderate,76.3,Pass
27,20,male,bca,5.76,55.7,no,8.2,average,self-study,low,easy,71.6,Pass
28,23,male,ba,5.03,98.5,yes,6.7,poor,mixed,high,hard,74.1,Pass
29,21,female,b.sc,2.72,79.4,yes,7.0,good,online videos,medium,moderate,56.6,Pass
30,20,other,b.tech,6.94,67.8,yes,4.6,good,group study,medium,moderate,49.2,Fail
31,20,other,b.tech,7.28,83.9,yes,6.3,poor,mixed,high,easy,97.5,Pass
32,18,male,b.sc,5.78,66.1,yes,5.1,good,self-study,high,easy,81.8,Pass
33,17,other,bca,5.68,46.4,yes,4.1,good,self-study,high,moderate,65.6,Pass
34,21,female,ba,3.95,69.9,no,6.5,poor,online videos,high,hard,71.1,Pass
35,24,female,ba,0.62,97.3,yes,4.6,good,group study,high,easy,60.3,Pass
36,17,other,b.com,7.91,56.4,yes,5.1,average,online videos,high,moderate,81.3,Pass
37,23,female,b.sc,0.12,43.2,no,5.8,average,online videos,medium,hard,37.3,Fail
38,23,male,bca,3.96,84.5,yes,6.7,poor,group study,low,hard,52.0,Pass
39,19,female,b.tech,2.94,67.3,yes,5.4,average,coaching,high,easy,58.9,Pass
40,22,other,bba,6.21,60.1,yes,9.7,average,online videos,low,easy,65.8,Pass
41,18,other,diploma,5.89,69.3,yes,9.5,average,mixed,medium,moderate,67.6,Pass
42,23,male,diploma,5.02,95.8,yes,5.5,poor,coaching,high,hard,99.3,Pass
43,22,other,b.com,0.6,55.0,yes,6.7,good,online videos,high,easy,33.6,Fail
44,19,male,bca,1.89,52.0,yes,7.6,poor,group study,medium,moderate,35.5,Fail
45,17,other,b.sc,0.75,72.0,yes,5.1,average,group study,medium,moderate,42.8,Fail
46,24,male,b.sc,7.83,67.8,yes,7.8,good,coaching,high,easy,100.0,Pass
47,20,male,b.com,1.02,49.0,yes,6.5,good,group study,high,easy,50.4,Pass
48,24,other,b.tech,7.74,74.8,yes,4.2,good,online videos,high,moderate,74.0,Pass
49,22,female,b.sc,0.9,74.5,yes,5.5,poor,mixed,high,moderate,30.9,Fail
50,23,male,bca,6.9,76.3,yes,5.1,poor,mixed,low,moderate,75.9,Pass
51,23,male,bca,4.6,64.8,yes,8.9,poor,mixed,low,easy,75.3,Pass
52,18,male,b.com,6.65,57.4,yes,7.0,good,group study,low,hard,88.7,Pass
53,19,male,b.com,5.07,59.7,yes,5.1,good,group study,low,moderate,73.6,Pass
54,20,other,b.com,6.15,90.1,yes,7.4,poor,self-study,high,moderate,76.8,Pass
55,20,male,b.tech,5.85,77.5,no,6.6,average,online videos,low,moderate,64.9,Pass
56,17,male,b.sc,2.08,63.9,yes,6.6,good,mixed,high,easy,47.2,Fail
57,21,other,diploma,7.48,76.8,yes,5.2,poor,group study,low,hard,78.1,Pass
58,18,other,bba,5.15,61.0,yes,7.8,average,mixed,medium,moderate,77.8,Pass
59,22,male,bba,1.62,91.8,no,8.9,average,mixed,high,moderate,66.9,Pass
60,22,female,b.sc,2.45,83.7,no,6.9,good,self-study,medium,moderate,70.5,Pass
61,24,female,bca,4.26,46.1,yes,4.9,average,online videos,medium,moderate,57.2,Pass
62,22,female,b.sc,7.05,43.4,yes,5.6,average,mixed,medium,moderate,75.5,Pass
63,19,male,diploma,6.37,42.0,yes,5.9,good,self-study,low,easy,62.8,Pass
64,24,other,ba,2.42,41.7,yes,9.3,average,online videos,high,moderate,31.7,Fail
65,20,other,b.com,5.51,69.8,yes,7.7,good,self-study,low,hard,70.3,Pass
66,19,other,bca,0.08,50.9,yes,9.6,poor,mixed,low,moderate,19.599,Fail
67,24,other,b.com,2.66,80.5,yes,5.9,average,mixed,low,moderate,54.0,Pass
68,19,male,b.sc,6.72,69.0,yes,9.2,good,self-study,high,moderate,61.0,Pass
69,17,female,bba,1.21,45.6,yes,8.8,average,online videos,medium,moderate,35.1,Fail
70,20,other,bca,2.83,40.6,yes,9.7,good,mixed,low,easy,57.5,Pass
71,23,female,bba,0.08,42.2,no,5.5,good,coaching,high,easy,26.4,Fail
72,18,other,ba,0.19,72.0,yes,9.7,poor,self-study,high,moderate,45.3,Fail
